Ranking,Jugador,Equipo,Total,Posicion
1,Yairo Moreno ,León FC,63,Centrocampista
2,Roger Martínez ,América,62,Delantero
3,Fabian Castillo ,Gallos Blancos,56,Centrocampista
4,Brian Lozano ,Santos Laguna,50,Centrocampista
5,Ibarra,América,45,Centrocampista
6,Daniel Villalva ,Veracruz,41,Delantero
7,Iturbe ,Pumas,39,Delantero
7,Rodolfo Pizarro ,Rayados,39,Centrocampista
7,Felipe Pardo ,Toluca,39,Delantero
8,Alan Mozo ,Pumas,38,Defensa
9,Juan Delgado ,Necaxa,37,Delantero
9,Andrés Ibargüen ,América,37,Centrocampista
10,Brayan Angulo ,Puebla,35,Defensa
10,Luis Rodríguez ,Tigres,35,Centrocampista
10,Luis Montes ,León FC,35,Centrocampista
11,Isaac Brizuela ,Chivas,34,Centrocampista
12,Romário Ibarra ,Pachuca,32,Centrocampista
12,Jesús Angulo ,Necaxa,32,Centrocampista
13,Fernando Gorriarán ,Santos Laguna,31,Centrocampista
13,Maximiliano Salas ,Necaxa,31,Delantero
