Ranking,Jugador,Equipo,Total,Posicion
1,Roger Martínez ,América,122,Delantero
2,Fabian Castillo ,Gallos Blancos,94,Centrocampista
3,Yairo Moreno ,León FC,93,Centrocampista
4,Brian Lozano ,Santos Laguna,87,Centrocampista
5,Ibarra,América,83,Centrocampista
6,Rodolfo Pizarro ,Rayados,82,Centrocampista
7,Felipe Pardo ,Toluca,77,Delantero
8,Alan Mozo ,Pumas,71,Defensa
9,Daniel Villalva ,Veracruz,64,Delantero
10,Isaac Brizuela ,Chivas,63,Centrocampista
11,Juan Delgado ,Necaxa,61,Delantero
12,Romário Ibarra ,Pachuca,60,Centrocampista
13,Luis Rodríguez ,Tigres,59,Centrocampista
14,Maximiliano Salas ,Necaxa,57,Delantero
14,Miller Bolaños ,Xolos,57,Centrocampista
15,Andrés Ibargüen ,América,56,Centrocampista
16,Alan Pulido ,Chivas,55,Delantero
17,Ernesto Vega ,Chivas,54,Delantero
18,Brayan Angulo ,Puebla,53,Defensa
18,Maximiliano Meza ,Rayados,53,Centrocampista
