Ranking,Jugador,Equipo,Total,Posicion
1,Dorlan Pabón ,Rayados,39,Delantero
2,Erick Castillo ,Santos Laguna,32,Delantero
3,Brian Lozano ,Santos Laguna,30,Centrocampista
4,Roger Martínez ,América,27,Delantero
5,Ibarra,América,26,Centrocampista
6,Miguel Layún ,Rayados,24,Defensa
7,Víctor Malcorra ,Pumas,22,Centrocampista
8,Víctor Ismael Sosa ,León FC,21,Delantero
9,Alan Pulido ,Chivas,20,Delantero
10,Enner Valencia ,Tigres,19,Delantero
11,Matías Catalán ,Atlético San Luis,18,Defensa
11,Yairo Moreno ,León FC,18,Centrocampista
11,Felipe Pardo ,Toluca,18,Delantero
12,Francisco Córdova ,América,17,Centrocampista
12,Rodolfo Pizarro ,Rayados,17,Centrocampista
12,Ayron Del Valle ,Gallos Blancos,17,Delantero
12,Luis Mendoza ,Monarcas,17,Delantero
12,Sambueza ,Pachuca,17,Centrocampista
13,Maximiliano Salas ,Necaxa,16,Delantero
13,Ernesto Vega ,Chivas,16,Delantero
