Ranking,Jugador,Equipo,Total,Posicion
1,Stefan Medina ,Rayados,1,Defensa
1,Maidana ,Toluca,1,Defensa
1,Walter Sandoval ,Chivas,1,Centrocampista
1,Emanuel Aguilera ,América,1,Defensa
1,Adrián Aldrete ,Cruz Azul,1,Defensa
1,Alexis Canelo ,Toluca,1,Delantero
1,Jorge Sánchez ,América,1,Defensa
1,Mario ,Atlético San Luis,1,Defensa
1,José J. Martínez ,Monarcas,1,Defensa
1,Sauro ,Toluca,1,Defensa
1,Jeison Angulo ,Pumas,1,Defensa
1,Camilo Sanvezzo ,Xolos,1,Delantero
1,Gabriel Achilier ,Monarcas,1,Defensa
1,Miguel Ponce ,Chivas,1,Defensa
1,Yairo Moreno ,León FC,1,Centrocampista
1,Anderson Santamaría ,Atlas,1,Defensa
1,Franco Jara ,Pachuca,1,Delantero
1,Luis Quiñónes ,Tigres,1,Delantero
1,Sebastián Vegas ,Monarcas,1,Defensa
1,César Huerta ,Chivas,1,Delantero
