Ranking,Jugador,Equipo,Total,Posicion
1,Guido Rodríguez ,América,9,Centrocampista
2,Aldo Rocha ,Monarcas,8,Centrocampista
2,Stefan Medina ,Rayados,8,Defensa
2,Claudio Baeza ,Necaxa,8,Centrocampista
3,Maximiliano Salas ,Necaxa,7,Delantero
3,Miller Bolaños ,Xolos,7,Centrocampista
3,William Tesillo ,León FC,7,Defensa
3,Leonel Vangioni ,Rayados,7,Defensa
4,Rodrigo Noya ,Necaxa,6,Defensa
4,Juan Vigon ,Pumas,6,Centrocampista
4,Jesús Molina ,Chivas,6,Centrocampista
4,Doria ,Santos Laguna,6,Defensa
4,Meza ,Necaxa,6,Defensa
4,Pablo Aguilar ,Cruz Azul,6,Defensa
4,Luis Quiñónes ,Tigres,6,Delantero
4,Sebastián Vegas ,Monarcas,6,Defensa
5,Nicolás Freire ,Pumas,5,Defensa
5,Celso Ortiz ,Rayados,5,Centrocampista
5,Emanuel Aguilera ,América,5,Defensa
5,José J. Martínez ,Monarcas,5,Defensa
