Ranking,Jugador,Equipo,Total,Posicion
1,Francisco Córdova ,América,2,Centrocampista
2,Gastón Lezcano ,Monarcas,1,Centrocampista
2,Fernando Gorriarán ,Santos Laguna,1,Centrocampista
2,Julio Dominguez ,Cruz Azul,1,Defensa
2,Aldo Rocha ,Monarcas,1,Centrocampista
2,Víctor Ismael Sosa ,León FC,1,Delantero
2,Jonathan Rodríguez ,Cruz Azul,1,Delantero
2,George Corral ,Gallos Blancos,1,Defensa
2,Jesús Zavala ,Puebla,1,Centrocampista
2,Kevin Balanta ,Xolos,1,Centrocampista
2,Jordan Silva ,Xolos,1,Defensa
2,Carlos Guerrero ,León FC,1,Centrocampista
2,Jesús Dueñas ,Tigres,1,Centrocampista
2,Camilo Mayada ,Atlético San Luis,1,Centrocampista
2,Aldo Cruz ,Xolos,1,Defensa
2,Mauricio Cuero ,Atlas,1,Delantero
2,Ernesto Vega ,Chivas,1,Delantero
2,Angelo Sagal ,Bravos,1,Delantero
2,Camilo Sanvezzo ,Xolos,1,Delantero
2,Doria ,Santos Laguna,1,Defensa
