Ranking,Jugador,Equipo,Total,Posicion
1,Francisco Córdova ,América,2,Centrocampista
1,Camilo Sanvezzo ,Xolos,2,Delantero
1,Franco Jara ,Pachuca,2,Delantero
2,Gastón Lezcano ,Monarcas,1,Centrocampista
2,Fernando Gorriarán ,Santos Laguna,1,Centrocampista
2,Julio Dominguez ,Cruz Azul,1,Defensa
2,Aldo Rocha ,Monarcas,1,Centrocampista
2,Víctor Ismael Sosa ,León FC,1,Delantero
2,Jonathan Rodríguez ,Cruz Azul,1,Delantero
2,Stefan Medina ,Rayados,1,Defensa
2,Maidana ,Toluca,1,Defensa
2,George Corral ,Gallos Blancos,1,Defensa
2,Jesús Zavala ,Puebla,1,Centrocampista
2,Walter Sandoval ,Chivas,1,Centrocampista
2,Emanuel Aguilera ,América,1,Defensa
2,Adrián Aldrete ,Cruz Azul,1,Defensa
2,Alexis Canelo ,Toluca,1,Delantero
2,Kevin Balanta ,Xolos,1,Centrocampista
2,Jordan Silva ,Xolos,1,Defensa
2,Carlos Guerrero ,León FC,1,Centrocampista
