Ranking,Jugador,Equipo,Total,Posicion
1,Guido Rodríguez ,América,10,Centrocampista
2,Aldo Rocha ,Monarcas,9,Centrocampista
2,Stefan Medina ,Rayados,9,Defensa
3,Claudio Baeza ,Necaxa,8,Centrocampista
4,Maximiliano Salas ,Necaxa,7,Delantero
4,Miller Bolaños ,Xolos,7,Centrocampista
4,Doria ,Santos Laguna,7,Defensa
4,Luis Quiñónes ,Tigres,7,Delantero
4,Sebastián Vegas ,Monarcas,7,Defensa
4,William Tesillo ,León FC,7,Defensa
4,Leonel Vangioni ,Rayados,7,Defensa
5,Rodrigo Noya ,Necaxa,6,Defensa
5,Emanuel Aguilera ,América,6,Defensa
5,Juan Vigon ,Pumas,6,Centrocampista
5,José J. Martínez ,Monarcas,6,Defensa
5,Jesús Molina ,Chivas,6,Centrocampista
5,Gabriel Achilier ,Monarcas,6,Defensa
5,Anderson Santamaría ,Atlas,6,Defensa
5,Lucas Cavallini ,Puebla,6,Delantero
5,Meza ,Necaxa,6,Defensa
