Ranking,Jugador,Equipo,Total,Posicion
1,Eduardo Herrera ,Necaxa,17,Delantero
2,Gabriel Hachen ,Bravos,13,Centrocampista
2,Vincent Janssen ,Rayados,13,Delantero
3,Iturbe ,Pumas,12,Delantero
3,Kevin Mercado ,Necaxa,12,Delantero
3,Fernando Gonzalez ,América,12,Centrocampista
4,Germán Berterame ,Atlético San Luis,11,Delantero
4,Vázquez ,Santos Laguna,11,Centrocampista
4,Jürgen Damm ,Tigres,11,Centrocampista
5,Diego Valdés ,Santos Laguna,10,Centrocampista
5,Angel Sepúlveda ,Xolos,10,Delantero
5,Leonardo Ramos ,León FC,10,Delantero
5,Felipe Mora ,Pumas,10,Delantero
5,Octavio Rivero ,Santos Laguna,10,Delantero
5,Jordi Cortizo ,Gallos Blancos,10,Centrocampista
6,Víctor Dávila ,Pachuca,9,Delantero
6,Luis Chavez ,Pachuca,9,Centrocampista
6,Enrique Triverio ,Gallos Blancos,9,Delantero
7,Guillermo Paul Fernandez ,Cruz Azul,8,Centrocampista
7,Maximiliano Salas ,Necaxa,8,Delantero
