Ranking,Jugador,Equipo,Total,Posicion
1,Ian González ,Atlético San Luis,14,Delantero
2,Dorlan Pabón ,Rayados,13,Delantero
3,José Macías ,León FC,12,Delantero
4,Juan Delgado ,Necaxa,11,Delantero
4,Maximiliano Salas ,Necaxa,11,Delantero
4,Adrian Lozano ,Santos Laguna,11,Centrocampista
4,Mauro Fernández ,Bravos,11,Delantero
4,Ángel Mena ,León FC,11,Centrocampista
5,Andrés Ibargüen ,América,10,Centrocampista
5,Quiroga ,Necaxa,10,Delantero
5,Ayron Del Valle ,Gallos Blancos,10,Delantero
6,Jonathan Copete ,Pachuca,9,Centrocampista
6,Chumacero ,Puebla,9,Centrocampista
6,Rodrigo Millar ,Monarcas,9,Centrocampista
6,Miguel Sansores ,Monarcas,9,Delantero
6,Christian Marrugo ,Puebla,9,Centrocampista
6,Diego Abella ,Puebla,9,Delantero
6,Brian Lozano ,Santos Laguna,9,Centrocampista
6,Ulises Rivas ,Santos Laguna,9,Centrocampista
6,Flavio Jesús Santos ,Bravos,9,Centrocampista
