Ranking,Jugador,Equipo,Total,Posicion
1,Ángel Mena ,León FC,12,Centrocampista
2,Edwin Cardona ,Pachuca,10,Centrocampista
3,Luis Quiñónes ,Tigres,6,Delantero
4,Luis Montes ,León FC,5,Centrocampista
4,Yoshimar Yotún ,Cruz Azul,5,Centrocampista
4,Bou ,Xolos,5,Delantero
5,Alexis Peña ,Necaxa,4,Defensa
5,Ibarra,América,4,Centrocampista
5,Carlos Rodríguez ,Rayados,4,Centrocampista
5,Isaac Brizuela ,Chivas,4,Centrocampista
5,Raúl López ,Pachuca,4,Defensa
5,Mancuello ,Toluca,4,Centrocampista
6,Rodrigo Millar ,Monarcas,3,Centrocampista
6,Henry Martin ,América,3,Delantero
6,Jean Meneses ,León FC,3,Centrocampista
6,Cándido Ramírez ,Monarcas,3,Centrocampista
6,Carlos González ,Pumas,3,Delantero
6,Jesús Gallardo ,Rayados,3,Centrocampista
6,Omar Fernández ,Puebla,3,Delantero
6,Jesús Angulo ,Xolos,3,Centrocampista
