Ranking,Jugador,Equipo,Total,Posicion
1,William ,Toluca,2,Centrocampista
1,Aldo Cruz ,Lobos BUAP,2,Defensa
1,Luis Quintana ,Pumas,2,Defensa
1,Jesús Paganoni ,Veracruz,2,Defensa
2,Vidrio ,Puebla,1,Defensa
2,Sebastián Vegas ,Monarcas,1,Defensa
2,Bruno Valdez ,América,1,Defensa
2,Andrés Mosquera ,León FC,1,Defensa
2,Adrián Aldrete ,Cruz Azul,1,Defensa
2,Omar González ,Atlas,1,Defensa
2,Idekel Domínguez ,Pumas,1,Defensa
2,Javier Güemez ,Gallos Blancos,1,Centrocampista
2,Edson Gutiérrez ,Rayados,1,Defensa
2,Hugo Rodríguez ,Santos Laguna,1,Defensa
2,Francisco Venegas ,Tigres,1,Defensa
2,Pablo Aguilar ,Cruz Azul,1,Defensa
2,Carlos Gutiérrez ,Veracruz,1,Defensa
2,Emmanuel García ,Pachuca,1,Defensa
2,Braghieri ,Xolos,1,Defensa
