Ranking,Jugador,Equipo,Total,Posicion
1,Ibarra,América,60,Centrocampista
2,Dorlan Pabón ,Rayados,38,Delantero
3,Víctor Malcorra ,Pumas,36,Centrocampista
4,Osvaldo Martínez ,Atlas,32,Centrocampista
5,Brian Fernández ,Necaxa,31,Centrocampista
6,Edwin Cardona ,Pachuca,30,Centrocampista
7,Yoshimar Yotún ,Cruz Azul,26,Centrocampista
8,Barrera ,Pumas,25,Delantero
9,Diego Valdés ,Santos Laguna,24,Centrocampista
9,Raúl López ,Pachuca,24,Defensa
10,Mancuello ,Toluca,23,Centrocampista
11,Aldo Cruz ,Lobos BUAP,20,Defensa
11,George Corral ,Gallos Blancos,20,Defensa
12,Adrián Aldrete ,Cruz Azul,19,Defensa
12,Luis Quiñónes ,Tigres,19,Delantero
13,Edison Flores ,Monarcas,18,Centrocampista
13,Brian Lozano ,Santos Laguna,18,Centrocampista
14,Luis Montes ,León FC,17,Centrocampista
15,Jesus Isijara ,Atlas,16,Delantero
15,Rafael Carioca ,Tigres,16,Centrocampista
