Ranking,Jugador,Equipo,Total,Posicion
1,Ibarra,América,127,Centrocampista
2,Víctor Malcorra ,Pumas,105,Centrocampista
3,Dorlan Pabón ,Rayados,101,Delantero
4,Osvaldo Martínez ,Atlas,72,Centrocampista
5,Luis Montes ,León FC,70,Centrocampista
6,Brian Lozano ,Santos Laguna,68,Centrocampista
7,Yoshimar Yotún ,Cruz Azul,63,Centrocampista
7,Edwin Cardona ,Pachuca,63,Centrocampista
8,Raúl López ,Pachuca,61,Defensa
9,Edison Flores ,Monarcas,55,Centrocampista
9,Adrián Aldrete ,Cruz Azul,55,Defensa
10,Diego Valdés ,Santos Laguna,53,Centrocampista
11,Barrera ,Pumas,51,Delantero
12,Luis Quiñónes ,Tigres,50,Delantero
13,Jesus Isijara ,Atlas,49,Delantero
14,Rafael Carioca ,Tigres,48,Centrocampista
15,Bryan Carrasco ,Veracruz,46,Centrocampista
16,Gastón Lezcano ,Monarcas,45,Centrocampista
17,Alan Mozo ,Pumas,44,Defensa
17,Brian Fernández ,Necaxa,44,Centrocampista
