Ranking,Jugador,Equipo,Total,Posicion
1,Gignac ,Tigres,29,Delantero
1,Ángel Mena ,León FC,29,Centrocampista
2,Bou ,Xolos,26,Delantero
2,Franco Jara ,Pachuca,26,Delantero
3,José Macías ,León FC,22,Delantero
3,Rogelio Funes Mori ,Rayados,22,Delantero
4,Javier Correa ,Santos Laguna,21,Delantero
5,Caraglio ,Cruz Azul,20,Delantero
5,Edwin Cardona ,Pachuca,20,Centrocampista
6,Brian Fernández ,Necaxa,19,Centrocampista
7,Luis Montes ,León FC,18,Centrocampista
7,Carlos González ,Pumas,18,Delantero
7,Alustiza ,Puebla,18,Delantero
7,Camilo Sanvezzo ,Gallos Blancos,18,Delantero
8,Felipe Mora ,Pumas,17,Delantero
9,Juan Vigon ,Atlas,16,Centrocampista
9,Nahuelpan ,Xolos,16,Delantero
9,Víctor Guzmán ,Pachuca,16,Centrocampista
10,Miller Bolaños ,Xolos,15,Centrocampista
10,Guido Rodríguez ,América,15,Centrocampista
