Ranking,Jugador,Equipo,Total,Posicion
1,Camilo Sanvezzo ,Gallos Blancos,14,Delantero
2,Osvaldo Martínez ,Atlas,13,Centrocampista
3,Edwin Cardona ,Pachuca,11,Centrocampista
4,Víctor Malcorra ,Pumas,10,Centrocampista
5,Luis Montes ,León FC,8,Centrocampista
5,Castillo ,América,8,Delantero
5,Dorlan Pabón ,Rayados,8,Delantero
6,Miguel Layún ,Rayados,7,Defensa
7,Gignac ,Tigres,6,Delantero
7,Diego Valdés ,Santos Laguna,6,Centrocampista
7,Maximiliano Meza ,Rayados,6,Centrocampista
7,Alustiza ,Puebla,6,Delantero
7,Emanuel Aguilera ,América,6,Defensa
7,Enner Valencia ,Tigres,6,Delantero
8,Luna ,Veracruz,5,Delantero
8,Alan Pulido ,Chivas,5,Delantero
8,Sebas Rodríguez ,Veracruz,5,Centrocampista
8,Angel Sepúlveda ,Necaxa,5,Centrocampista
8,Mancuello ,Toluca,5,Centrocampista
9,Sebastián Vegas ,Monarcas,4,Defensa
