Ranking,Jugador,Equipo,Total,Posicion
1,Edwin Cardona ,Pachuca,18,Centrocampista
2,Gignac ,Tigres,17,Delantero
3,Alan Pulido ,Chivas,14,Delantero
4,Rogelio Funes Mori ,Rayados,13,Delantero
4,Luis Montes ,León FC,13,Centrocampista
4,Caraglio ,Cruz Azul,13,Delantero
4,Víctor Guzmán ,Pachuca,13,Centrocampista
4,Alustiza ,Puebla,13,Delantero
4,Camilo Sanvezzo ,Gallos Blancos,13,Delantero
5,Guido Rodríguez ,América,12,Centrocampista
5,Castillo ,América,12,Delantero
5,Dorlan Pabón ,Rayados,12,Delantero
5,Osvaldo Martínez ,Atlas,12,Centrocampista
5,Felipe Mora ,Pumas,12,Delantero
6,Alexis Canelo ,Toluca,11,Delantero
6,Bou ,Xolos,11,Delantero
6,Jonathan Rodríguez ,Cruz Azul,11,Delantero
7,Jean Meneses ,León FC,10,Centrocampista
7,Víctor Malcorra ,Pumas,10,Centrocampista
7,Luis Quiñónes ,Tigres,10,Delantero
