Ranking,Jugador,Equipo,Total,Posicion
1,Luis Montes ,León FC,139,Centrocampista
2,Luis Quiñónes ,Tigres,136,Delantero
3,Guido Rodríguez ,América,135,Centrocampista
4,Isaac Brizuela ,Chivas,109,Centrocampista
5,Ibarra,América,108,Centrocampista
6,Ángel Mena ,León FC,106,Centrocampista
7,Luis Rodríguez ,Tigres,104,Centrocampista
8,Navarro ,León FC,95,Defensa
9,José Rodríguez ,León FC,92,Centrocampista
9,Orbelín Pineda ,Cruz Azul,92,Centrocampista
10,William Tesillo ,León FC,91,Defensa
10,Alan Mozo ,Pumas,91,Defensa
11,Jean Meneses ,León FC,90,Centrocampista
12,Ignacio Rivero ,Xolos,89,Centrocampista
13,Cristian Calderón ,Necaxa,88,Defensa
14,Roberto Alvarado ,Cruz Azul,87,Centrocampista
15,Diego Valdés ,Santos Laguna,85,Centrocampista
16,Maximiliano Meza ,Rayados,84,Centrocampista
17,Brian Lozano ,Santos Laguna,83,Centrocampista
17,Enner Valencia ,Tigres,83,Delantero
