Ranking,Jugador,Equipo,Total,Posicion
1,Carlos González ,Pumas,164,Delantero
2,Lucas Cavallini ,Puebla,153,Delantero
3,Julio César ,Santos Laguna,151,Delantero
4,Caraglio ,Cruz Azul,121,Delantero
5,Miguel Sansores ,Monarcas,103,Delantero
6,Pablo Aguilar ,Cruz Azul,99,Defensa
7,Nahuelpan ,Xolos,97,Delantero
8,Cristian Menéndez ,Veracruz,96,Delantero
9,Oscar Murillo ,Pachuca,95,Defensa
10,Alexis Peña ,Necaxa,94,Defensa
11,Bruno Valdez ,América,92,Defensa
12,Felipe Mora ,Pumas,86,Delantero
13,Jesús Molina ,Chivas,84,Centrocampista
14,Eduardo Herrera ,Necaxa,83,Delantero
15,Jesús Zavala ,Puebla,82,Centrocampista
16,Omar González ,Atlas,81,Defensa
17,Nervo ,Santos Laguna,80,Defensa
18,Gabriel Achilier ,Monarcas,79,Defensa
19,William Tesillo ,León FC,78,Defensa
20,Jair Pereira ,Chivas,77,Defensa
