Ranking,Jugador,Equipo,Total,Posicion
1,Luis Quiñónes ,Tigres,271,Delantero
2,Luis Montes ,León FC,253,Centrocampista
3,Guido Rodríguez ,América,220,Centrocampista
4,Ángel Mena ,León FC,207,Centrocampista
5,Luis Rodríguez ,Tigres,206,Centrocampista
6,Ibarra,América,202,Centrocampista
7,Isaac Brizuela ,Chivas,189,Centrocampista
8,Navarro ,León FC,183,Defensa
9,Ignacio Rivero ,Xolos,180,Centrocampista
10,William Tesillo ,León FC,177,Defensa
11,Roberto Alvarado ,Cruz Azul,174,Centrocampista
12,Jean Meneses ,León FC,172,Centrocampista
13,Alan Mozo ,Pumas,169,Defensa
13,Bou ,Xolos,169,Delantero
14,Orbelín Pineda ,Cruz Azul,167,Centrocampista
15,José Rodríguez ,León FC,165,Centrocampista
16,Maximiliano Meza ,Rayados,164,Centrocampista
17,Víctor Guzmán ,Pachuca,163,Centrocampista
18,Miller Bolaños ,Xolos,161,Centrocampista
18,Brian Lozano ,Santos Laguna,161,Centrocampista
