Ranking,Jugador,Equipo,Total,Posicion
1,Celso Ortiz ,Rayados,26,Centrocampista
2,Luis Montes ,León FC,25,Centrocampista
3,Guido Rodríguez ,América,23,Centrocampista
3,Paul Aguilar ,América,23,Defensa
3,Luis Rodríguez ,Tigres,23,Centrocampista
4,William Tesillo ,León FC,22,Defensa
5,Alan Mozo ,Pumas,21,Defensa
6,Edson Álvarez ,América,20,Defensa
6,Josecarlos Van Rankin ,Chivas,20,Defensa
7,Jesús Molina ,Chivas,19,Centrocampista
7,Gallegos ,Necaxa,19,Centrocampista
8,Hugo Ayala ,Tigres,18,Defensa
9,Ignacio Rivero ,Xolos,17,Centrocampista
9,Roberto Alvarado ,Cruz Azul,17,Centrocampista
9,Vázquez ,Santos Laguna,17,Centrocampista
9,Luis Quiñónes ,Tigres,17,Delantero
9,Navarro ,León FC,17,Defensa
9,Guido Pizarro ,Tigres,17,Centrocampista
10,Vidrio ,Puebla,16,Defensa
10,Luis Romo ,Gallos Blancos,16,Defensa
