Ranking,Jugador,Equipo,Total,Posicion
1,Guido Rodríguez ,América,43,Centrocampista
2,Luis Montes ,León FC,38,Centrocampista
2,Luis Rodríguez ,Tigres,38,Centrocampista
2,José Rodríguez ,León FC,38,Centrocampista
3,Luis Quiñónes ,Tigres,37,Delantero
4,William Tesillo ,León FC,35,Defensa
5,Cristian Calderón ,Necaxa,33,Defensa
6,Gerardo Daniel Arteaga Zamora ,Santos Laguna,32,Defensa
6,Navarro ,León FC,32,Defensa
7,Ignacio Rivero ,Xolos,31,Centrocampista
7,Abella ,Santos Laguna,31,Defensa
8,Paul Aguilar ,América,30,Defensa
8,Vladimir Loroña ,Puebla,30,Defensa
9,Celso Ortiz ,Rayados,29,Centrocampista
10,Diego Valdés ,Santos Laguna,27,Centrocampista
10,Meza ,Necaxa,27,Defensa
10,Omar Mendoza ,Xolos,27,Defensa
11,Oscar Murillo ,Pachuca,26,Defensa
11,Víctor Guzmán ,Pachuca,26,Centrocampista
11,Josecarlos Van Rankin ,Chivas,26,Defensa
