Ranking,Jugador,Equipo,Total,Posicion
1,Guido Rodríguez ,América,5,Centrocampista
1,Luis Quiñónes ,Tigres,5,Delantero
2,Aquino ,Tigres,4,Centrocampista
2,Campbell ,León FC,4,Delantero
2,Michaell Chirinos ,Lobos BUAP,4,Delantero
2,Gigliotti ,Toluca,4,Delantero
2,Lucas Cavallini ,Puebla,4,Delantero
3,Yairo Moreno ,León FC,3,Centrocampista
3,Gallegos ,Necaxa,3,Centrocampista
3,Edison Flores ,Monarcas,3,Centrocampista
3,Richard Ruiz ,Toluca,3,Defensa
3,William Tesillo ,León FC,3,Defensa
3,Juan Vigon ,Atlas,3,Centrocampista
3,Ángel Mena ,León FC,3,Centrocampista
3,Nahuelpan ,Xolos,3,Delantero
3,Dorlan Pabón ,Rayados,3,Delantero
3,Gastón Lezcano ,Monarcas,3,Centrocampista
3,Kazim-Richards ,Veracruz,3,Delantero
4,Miller Bolaños ,Xolos,2,Centrocampista
4,Jesús Molina ,Chivas,2,Centrocampista
