Ranking,Jugador,Equipo,Total,Posicion
1,Rogelio Funes Mori ,Rayados,11,Delantero
2,Bou ,Xolos,7,Delantero
2,Brian Fernández ,Necaxa,7,Centrocampista
3,Edwin Cardona ,Pachuca,6,Centrocampista
4,Miller Bolaños ,Xolos,5,Centrocampista
4,Gignac ,Tigres,5,Delantero
4,José Macías ,León FC,5,Delantero
5,Jean Meneses ,León FC,4,Centrocampista
5,Vargas ,Tigres,4,Delantero
5,Ernesto Vega ,Chivas,4,Delantero
5,Castillo ,América,4,Delantero
5,Dorlan Pabón ,Rayados,4,Delantero
5,Julio César ,Santos Laguna,4,Delantero
5,Osvaldo Martínez ,Atlas,4,Centrocampista
5,Rodolfo Pizarro ,Rayados,4,Centrocampista
6,Guido Rodríguez ,América,3,Centrocampista
6,Nicolás Sánchez ,Rayados,3,Defensa
6,Roger Martínez ,América,3,Delantero
6,Diego Valdés ,Santos Laguna,3,Centrocampista
6,Javier Correa ,Santos Laguna,3,Delantero
