Ranking,Jugador,Equipo,Total,Posicion
1,Ángel Mena ,León FC,11,Centrocampista
2,Edison Flores ,Monarcas,5,Centrocampista
2,Caraglio ,Cruz Azul,5,Delantero
3,José Macías ,León FC,4,Delantero
3,Alexis Canelo ,Toluca,4,Delantero
4,Iturbe ,Pumas,3,Delantero
4,Nahuelpan ,Xolos,3,Delantero
4,Leonardo Ramos ,Lobos BUAP,3,Delantero
4,Bou ,Xolos,3,Delantero
4,Brian Fernández ,Necaxa,3,Centrocampista
5,Lucas Zelarrayán ,Tigres,2,Centrocampista
5,Cristian Calderón ,Necaxa,2,Defensa
5,Roger Martínez ,América,2,Delantero
5,Bruno Valdez ,América,2,Defensa
5,Carlos Ferreira ,Monarcas,2,Delantero
5,Barrientos ,Toluca,2,Centrocampista
5,William Tesillo ,León FC,2,Defensa
5,Campbell ,León FC,2,Delantero
5,Angelo Sagal ,Pachuca,2,Centrocampista
5,Víctor Guzmán ,Pachuca,2,Centrocampista
