Ranking,Jugador,Equipo,Total,Posicion
1,Caraglio ,Cruz Azul,6,Delantero
2,Ulloa ,Pachuca,5,Delantero
3,Gignac ,Tigres,4,Delantero
3,Felipe Mora ,Pumas,4,Delantero
4,Carlos González ,Pumas,3,Delantero
4,Leonardo Ramos ,Lobos BUAP,3,Delantero
5,Jaine Barreiro ,Pachuca,2,Defensa
5,Julián Quiñones ,Tigres,2,Delantero
5,Juan Vigon ,Atlas,2,Centrocampista
5,Miguel Sansores ,Monarcas,2,Delantero
5,Alustiza ,Puebla,2,Delantero
5,Camilo Sanvezzo ,Gallos Blancos,2,Delantero
5,Franco Jara ,Pachuca,2,Delantero
5,Orbelín Pineda ,Cruz Azul,2,Centrocampista
5,Lucas Cavallini ,Puebla,2,Delantero
5,Brian Fernández ,Necaxa,2,Centrocampista
6,Henry Martin ,América,1,Delantero
6,Miller Bolaños ,Xolos,1,Centrocampista
6,Yairo Moreno ,León FC,1,Centrocampista
6,José Macías ,León FC,1,Delantero
