Ranking,Jugador,Equipo,Total,Posicion
1,Caraglio ,Cruz Azul,5,Delantero
2,Nicolás Sánchez ,Rayados,3,Defensa
2,Ángel Mena ,León FC,3,Centrocampista
2,Bou ,Xolos,3,Delantero
2,Franco Jara ,Pachuca,3,Delantero
3,Gignac ,Tigres,2,Delantero
3,Mario Osuna ,Monarcas,2,Centrocampista
3,Alan Pulido ,Chivas,2,Delantero
3,Camilo Sanvezzo ,Gallos Blancos,2,Delantero
3,Elias Hernández ,Cruz Azul,2,Centrocampista
4,Miller Bolaños ,Xolos,1,Centrocampista
4,Rogelio Funes Mori ,Rayados,1,Delantero
4,Roger Martínez ,América,1,Delantero
4,Javier Correa ,Santos Laguna,1,Delantero
4,Barrientos ,Toluca,1,Centrocampista
4,Rodolfo Vilchis ,Monarcas,1,Centrocampista
4,Barrera ,Pumas,1,Delantero
4,Alexis Canelo ,Toluca,1,Delantero
4,Emanuel Aguilera ,América,1,Defensa
4,Leonardo Ramos ,Lobos BUAP,1,Delantero
