Ranking,Jugador,Equipo,Total,Posicion
1,Jaine Barreiro ,Pachuca,2,Defensa
2,Maidana ,Toluca,1,Defensa
2,Víctor Milke ,Gallos Blancos,1,Defensa
2,Brayan Angulo ,Puebla,1,Defensa
2,Andrés Mosquera ,León FC,1,Defensa
2,Ulloa ,Pachuca,1,Delantero
2,Luis Rodríguez ,Tigres,1,Centrocampista
2,Igor Lichnovsky ,Cruz Azul,1,Defensa
2,Joaquín Esquivel ,Lobos BUAP,1,Defensa
2,Vladimir Loroña ,Puebla,1,Defensa
2,Miguel Samudio ,Gallos Blancos,1,Defensa
2,Gil Alcalá ,Gallos Blancos,1,Portero
2,Raúl López ,Pachuca,1,Defensa
2,Fabrício Carioca ,Veracruz,1,Defensa
2,Ventura Alvarado ,Necaxa,1,Defensa
2,Michael Orozco ,Lobos BUAP,1,Defensa
2,Braghieri ,Xolos,1,Defensa
2,Brayan Beckeles ,Necaxa,1,Defensa
2,Luis Fuentes ,Xolos,1,Defensa
