Ranking,Jugador,Equipo,Total,Posicion
1,Abraham ,Lobos BUAP,34,Centrocampista
1,Sebastián Jurado ,Veracruz,34,Portero
1,Aldo Cruz ,Lobos BUAP,34,Defensa
1,Maza Rodríguez ,Lobos BUAP,34,Defensa
2,Sebastián Vegas ,Monarcas,31,Defensa
2,Bryan Rabello ,Lobos BUAP,31,Centrocampista
2,Jesús Paganoni ,Veracruz,31,Defensa
3,Sebas Rodríguez ,Veracruz,29,Centrocampista
3,Michaell Chirinos ,Lobos BUAP,29,Delantero
4,Alfonso Blanco ,Pachuca,28,Portero
4,Osvaldo Martínez ,Atlas,28,Centrocampista
4,Alexis Pérez ,Gallos Blancos,28,Defensa
4,Raúl López ,Pachuca,28,Defensa
5,Aldo Rocha ,Monarcas,27,Centrocampista
5,José Hernández ,Atlas,27,Portero
5,Oscar Murillo ,Pachuca,27,Defensa
6,Mario Osuna ,Monarcas,26,Centrocampista
6,Edison Flores ,Monarcas,26,Centrocampista
6,Víctor Guzmán ,Pachuca,26,Centrocampista
6,Jorge Hernández ,Pachuca,26,Centrocampista
