Ranking,Jugador,Equipo,Total,Posicion
1,Oscar Murillo ,Pachuca,62,Defensa
2,Julián Velázquez ,Xolos,40,Defensa
3,Diego Novaretti ,Gallos Blancos,36,Defensa
3,Vidrio ,Puebla,36,Defensa
3,Alexis Peña ,Necaxa,36,Defensa
3,Luis Fuentes ,Xolos,36,Defensa
4,Guido Rodríguez ,América,35,Centrocampista
5,Anderson Santamaría ,Atlas,33,Defensa
5,William Tesillo ,León FC,33,Defensa
5,Pablo Aguilar ,Cruz Azul,33,Defensa
6,Jaine Barreiro ,Pachuca,32,Defensa
6,Hiram Mier ,Chivas,32,Defensa
6,Ventura Alvarado ,Necaxa,32,Defensa
7,Nicolás Sánchez ,Rayados,31,Defensa
7,Maza Rodríguez ,Lobos BUAP,31,Defensa
7,Nervo ,Santos Laguna,31,Defensa
8,Emanuel Aguilera ,América,30,Defensa
8,Doria ,Santos Laguna,30,Defensa
9,Gerardo Daniel Arteaga Zamora ,Santos Laguna,29,Defensa
9,José Rodríguez ,León FC,29,Centrocampista
