Ranking,Jugador,Equipo,Total,Posicion
1,Guzmán ,Tigres,82,Portero
2,Sebastián Jurado ,Veracruz,72,Portero
3,Rodolfo Cota ,León FC,69,Portero
4,Toño Rodríguez ,Lobos BUAP,68,Portero
5,Marcelo Barovero ,Rayados,62,Portero
5,Lajud ,Xolos,62,Portero
5,Alfredo Saldívar ,Pumas,62,Portero
6,Hugo González ,Necaxa,54,Portero
6,Marchesín ,América,54,Portero
7,Nicolás Vikonis ,Puebla,51,Portero
8,Talavera ,Toluca,50,Portero
9,Raúl Gudiño ,Chivas,44,Portero
10,José Hernández ,Atlas,42,Portero
11,Alfonso Blanco ,Pachuca,41,Portero
11,Corona ,Cruz Azul,41,Portero
12,Jonathan Orozco ,Santos Laguna,40,Portero
13,Sebastián Sosa ,Monarcas,37,Portero
14,Navarro ,Gallos Blancos,31,Portero
15,Gil Alcalá ,Gallos Blancos,27,Portero
16,Luis Malagón ,Monarcas,15,Portero
