Ranking,Jugador,Equipo,Total,Posicion
1,Luis Montes ,León FC,23,Centrocampista
1,Guzmán ,Tigres,23,Portero
1,Rodolfo Cota ,León FC,23,Portero
1,Ángel Mena ,León FC,23,Centrocampista
2,Andrés Mosquera ,León FC,22,Defensa
2,William Tesillo ,León FC,22,Defensa
2,Luis Rodríguez ,Tigres,22,Centrocampista
2,José Rodríguez ,León FC,22,Centrocampista
2,Navarro ,León FC,22,Defensa
3,Guido Rodríguez ,América,21,Centrocampista
3,Jesús Gallardo ,Rayados,21,Centrocampista
3,Marchesín ,América,21,Portero
3,Rafael Carioca ,Tigres,21,Centrocampista
4,Jean Meneses ,León FC,20,Centrocampista
4,Jesús Dueñas ,Tigres,20,Centrocampista
4,Luis Quiñónes ,Tigres,20,Delantero
4,Guido Pizarro ,Tigres,20,Centrocampista
5,Miller Bolaños ,Xolos,19,Centrocampista
5,Ignacio Rivero ,Xolos,19,Centrocampista
5,Hugo González ,Necaxa,19,Portero
