Ranking,Jugador,Equipo,Total,Posicion
1,Luis Montes ,León FC,700,Centrocampista
2,Edwin Cardona ,Pachuca,590,Centrocampista
3,Víctor Guzmán ,Pachuca,553,Centrocampista
4,José Rodríguez ,León FC,507,Centrocampista
5,Navarro ,León FC,501,Defensa
6,Ángel Mena ,León FC,491,Centrocampista
7,Rafael Carioca ,Tigres,489,Centrocampista
8,Luis Rodríguez ,Tigres,474,Centrocampista
9,Jorge Hernández ,Pachuca,471,Centrocampista
10,William Tesillo ,León FC,455,Defensa
11,Miller Bolaños ,Xolos,447,Centrocampista
12,Jesús Dueñas ,Tigres,432,Centrocampista
13,Osvaldo Martínez ,Atlas,428,Centrocampista
14,Guido Pizarro ,Tigres,420,Centrocampista
15,Diego Valdés ,Santos Laguna,415,Centrocampista
16,Ibarra,América,400,Centrocampista
17,Abraham ,Lobos BUAP,399,Centrocampista
18,Yoshimar Yotún ,Cruz Azul,391,Centrocampista
19,Roberto Alvarado ,Cruz Azul,389,Centrocampista
20,Vázquez ,Santos Laguna,357,Centrocampista
