Ranking,Jugador,Equipo,Total,Posicion
1,Luis Montes ,León FC,1150,Centrocampista
2,José Rodríguez ,León FC,1014,Centrocampista
3,Guido Pizarro ,Tigres,1004,Centrocampista
4,Rafael Carioca ,Tigres,970,Centrocampista
5,William Tesillo ,León FC,939,Defensa
6,Abraham ,Lobos BUAP,929,Centrocampista
7,Luis Rodríguez ,Tigres,918,Centrocampista
8,Jorge Hernández ,Pachuca,903,Centrocampista
9,Andrés Mosquera ,León FC,846,Defensa
10,Navarro ,León FC,837,Defensa
11,Hugo Ayala ,Tigres,825,Defensa
12,Víctor Guzmán ,Pachuca,810,Centrocampista
13,Jesús Dueñas ,Tigres,738,Centrocampista
14,Carlos Salcedo ,Tigres,730,Defensa
15,Edwin Cardona ,Pachuca,728,Centrocampista
16,Diego Rodríguez ,Xolos,704,Centrocampista
17,Diego Valdés ,Santos Laguna,675,Centrocampista
18,Guido Rodríguez ,América,667,Centrocampista
19,Aldo Rocha ,Monarcas,660,Centrocampista
20,Maza Rodríguez ,Lobos BUAP,656,Defensa
