Ranking,Jugador,Equipo,Total,Posicion
1,Ibarra,América,260,Centrocampista
2,Osvaldo Martínez ,Atlas,239,Centrocampista
3,Edwin Cardona ,Pachuca,236,Centrocampista
4,Luis Montes ,León FC,223,Centrocampista
5,Dorlan Pabón ,Rayados,213,Delantero
6,Víctor Malcorra ,Pumas,206,Centrocampista
7,William Tesillo ,León FC,184,Defensa
8,Nicolás Vikonis ,Puebla,183,Portero
9,Marchesín ,América,176,Portero
10,Brian Lozano ,Santos Laguna,162,Centrocampista
11,Víctor Guzmán ,Pachuca,157,Centrocampista
12,Alfredo Saldívar ,Pumas,153,Portero
13,Diego Valdés ,Santos Laguna,151,Centrocampista
14,Raúl López ,Pachuca,147,Defensa
15,Yoshimar Yotún ,Cruz Azul,145,Centrocampista
15,Luis Quiñónes ,Tigres,145,Delantero
15,Fernando Gonzalez ,Necaxa,145,Centrocampista
16,Edison Flores ,Monarcas,142,Centrocampista
17,Jonathan Orozco ,Santos Laguna,139,Portero
18,Bou ,Xolos,137,Delantero
