Ranking,Jugador,Equipo,Total,Posicion
1,Marchesín ,América,242,Portero
2,Nicolás Vikonis ,Puebla,167,Portero
3,Guzmán ,Tigres,160,Portero
4,Alfredo Saldívar ,Pumas,145,Portero
5,Corona ,Cruz Azul,143,Portero
6,Jonathan Orozco ,Santos Laguna,142,Portero
7,Toño Rodríguez ,Lobos BUAP,140,Portero
8,Abraham ,Lobos BUAP,133,Centrocampista
9,William Tesillo ,León FC,124,Defensa
9,Alfonso Blanco ,Pachuca,124,Portero
10,Sebastián Jurado ,Veracruz,123,Portero
11,Rodolfo Cota ,León FC,122,Portero
12,Hugo González ,Necaxa,120,Portero
13,Luis Montes ,León FC,119,Centrocampista
14,Marcelo Barovero ,Rayados,115,Portero
15,José Hernández ,Atlas,105,Portero
16,Carlos Salcedo ,Tigres,99,Defensa
17,Talavera ,Toluca,97,Portero
18,Edwin Cardona ,Pachuca,95,Centrocampista
19,Maza Rodríguez ,Lobos BUAP,93,Defensa
