Ranking,Jugador,Equipo,Total,Posicion
1,Marchesín ,América,210,Portero
2,Nicolás Vikonis ,Puebla,204,Portero
3,Alfredo Saldívar ,Pumas,174,Portero
4,Jonathan Orozco ,Santos Laguna,160,Portero
5,Toño Rodríguez ,Lobos BUAP,156,Portero
6,Sebastián Jurado ,Veracruz,148,Portero
7,Marcelo Barovero ,Rayados,146,Portero
8,Hugo González ,Necaxa,143,Portero
9,Rodolfo Cota ,León FC,142,Portero
10,Lajud ,Xolos,131,Portero
11,Guzmán ,Tigres,129,Portero
12,Corona ,Cruz Azul,127,Portero
13,José Hernández ,Atlas,125,Portero
14,Sebastián Sosa ,Monarcas,120,Portero
15,Talavera ,Toluca,116,Portero
16,Raúl Gudiño ,Chivas,108,Portero
17,Gil Alcalá ,Gallos Blancos,104,Portero
18,Alfonso Blanco ,Pachuca,99,Portero
19,William Tesillo ,León FC,89,Defensa
20,Pablo Aguilar ,Cruz Azul,86,Defensa
