Ranking,Jugador,Equipo,Total,Posicion
1,Marchesín ,América,452,Portero
2,Nicolás Vikonis ,Puebla,371,Portero
3,Alfredo Saldívar ,Pumas,319,Portero
4,Jonathan Orozco ,Santos Laguna,302,Portero
5,Toño Rodríguez ,Lobos BUAP,296,Portero
6,Guzmán ,Tigres,289,Portero
7,Sebastián Jurado ,Veracruz,271,Portero
8,Corona ,Cruz Azul,270,Portero
9,Rodolfo Cota ,León FC,264,Portero
10,Hugo González ,Necaxa,263,Portero
11,Marcelo Barovero ,Rayados,261,Portero
12,José Hernández ,Atlas,230,Portero
13,Alfonso Blanco ,Pachuca,223,Portero
14,Talavera ,Toluca,213,Portero
14,William Tesillo ,León FC,213,Defensa
14,Lajud ,Xolos,213,Portero
15,Sebastián Sosa ,Monarcas,202,Portero
16,Gil Alcalá ,Gallos Blancos,183,Portero
17,Abraham ,Lobos BUAP,182,Centrocampista
18,Raúl Gudiño ,Chivas,181,Portero
