Ranking,Jugador,Equipo,Total,Posicion
1,Hugo Ayala ,Tigres,658,Defensa
2,Guido Pizarro ,Tigres,613,Centrocampista
3,Andrés Mosquera ,León FC,605,Defensa
4,Abraham ,Lobos BUAP,576,Centrocampista
5,Julián Velázquez ,Xolos,562,Defensa
6,William Tesillo ,León FC,556,Defensa
7,José Rodríguez ,León FC,544,Centrocampista
8,Guzmán ,Tigres,533,Portero
9,Rafael Carioca ,Tigres,528,Centrocampista
10,Francisco Meza ,Tigres,520,Defensa
11,Carlos Salcedo ,Tigres,506,Defensa
12,Luis Montes ,León FC,502,Centrocampista
13,Luis Rodríguez ,Tigres,501,Centrocampista
14,Maza Rodríguez ,Lobos BUAP,499,Defensa
15,Jorge Hernández ,Pachuca,469,Centrocampista
16,Braghieri ,Xolos,467,Defensa
17,Oscar Murillo ,Pachuca,436,Defensa
18,Hiram Mier ,Chivas,427,Defensa
19,Emanuel Aguilera ,América,425,Defensa
20,Igor Lichnovsky ,Cruz Azul,413,Defensa
