Ranking,Jugador,Equipo,Total,Posicion
1,Alfredo Saldívar ,Pumas,6,Portero
2,Marchesín ,América,5,Portero
2,Rodolfo Cota ,León FC,5,Portero
2,Lajud ,Xolos,5,Portero
3,Talavera ,Toluca,4,Portero
3,Toño Rodríguez ,Lobos BUAP,4,Portero
3,Sebastián Sosa ,Monarcas,4,Portero
4,Sebastián Jurado ,Veracruz,3,Portero
4,Corona ,Cruz Azul,3,Portero
5,Hugo González ,Necaxa,2,Portero
5,Luis Malagón ,Monarcas,2,Portero
5,Alfonso Blanco ,Pachuca,2,Portero
5,Gil Alcalá ,Gallos Blancos,2,Portero
6,Nicolás Vikonis ,Puebla,1,Portero
6,Navarro ,Gallos Blancos,1,Portero
6,José Hernández ,Atlas,1,Portero
6,Guzmán ,Tigres,1,Portero
6,Raúl Gudiño ,Chivas,1,Portero
6,Jesús Rodríguez ,Puebla,1,Portero
6,Jonathan Orozco ,Santos Laguna,1,Portero
