Ranking,Jugador,Equipo,Total,Posicion
1,Ibarra,América,40,Centrocampista
2,Luis Quiñónes ,Tigres,38,Delantero
3,Isaac Brizuela ,Chivas,34,Centrocampista
4,Fabian Castillo ,Xolos,30,Centrocampista
5,Bou ,Xolos,29,Delantero
6,Ángel Mena ,León FC,27,Centrocampista
7,Andrés Ibargüen ,América,26,Centrocampista
7,Brian Lozano ,Santos Laguna,26,Centrocampista
8,Felipe Pardo ,Toluca,24,Delantero
8,Brian Fernández ,Necaxa,24,Centrocampista
9,Raúl López ,Pachuca,23,Defensa
9,Enner Valencia ,Tigres,23,Delantero
10,Roberto Alvarado ,Cruz Azul,22,Centrocampista
10,Jesus Isijara ,Atlas,22,Delantero
10,Alan Pulido ,Chivas,22,Delantero
10,Orbelín Pineda ,Cruz Azul,22,Centrocampista
11,Alan Mozo ,Pumas,21,Defensa
12,Javier Correa ,Santos Laguna,20,Delantero
12,Campbell ,León FC,20,Delantero
12,Luiz Da Silva ,Lobos BUAP,20,Delantero
