Ranking,Jugador,Equipo,Total,Posicion
1,Luis Quiñónes ,Tigres,91,Delantero
2,Isaac Brizuela ,Chivas,90,Centrocampista
3,Ibarra,América,88,Centrocampista
4,Fabian Castillo ,Xolos,64,Centrocampista
4,Bou ,Xolos,64,Delantero
5,Andrés Ibargüen ,América,60,Centrocampista
5,Ángel Mena ,León FC,60,Centrocampista
6,Brian Lozano ,Santos Laguna,57,Centrocampista
6,Raúl López ,Pachuca,57,Defensa
7,Roberto Alvarado ,Cruz Azul,56,Centrocampista
8,Maximiliano Meza ,Rayados,55,Centrocampista
8,Enner Valencia ,Tigres,55,Delantero
9,Edwin Cardona ,Pachuca,53,Centrocampista
10,Alan Pulido ,Chivas,50,Delantero
10,Alan Mozo ,Pumas,50,Defensa
11,Campbell ,León FC,49,Delantero
12,Brian Fernández ,Necaxa,48,Centrocampista
13,Felipe Pardo ,Toluca,47,Delantero
14,Barrera ,Pumas,45,Delantero
15,Orbelín Pineda ,Cruz Azul,44,Centrocampista
