Ranking,Jugador,Equipo,Total,Posicion
1,Guido Rodríguez ,América,1,Centrocampista
1,Nicolás Sánchez ,Rayados,1,Defensa
1,Alan Acosta ,Puebla,1,Centrocampista
1,Leonel Vangioni ,Rayados,1,Defensa
1,Lampros Kotogiannis ,Veracruz,1,Defensa
1,Gabriel Achilier ,Monarcas,1,Defensa
1,Bruno Valdez ,América,1,Defensa
1,Avilés Hurtado ,Rayados,1,Centrocampista
1,Idekel Domínguez ,Pumas,1,Defensa
1,William Tesillo ,León FC,1,Defensa
1,Sambueza ,León FC,1,Centrocampista
1,Juan Vigon ,Atlas,1,Centrocampista
1,Miguel Sansores ,Monarcas,1,Delantero
1,Efraín Velarde ,Monarcas,1,Defensa
1,Jesús Angulo ,Santos Laguna,1,Defensa
1,Emanuel Aguilera ,América,1,Defensa
1,César Montes ,Rayados,1,Defensa
1,Antonio Ríos ,Toluca,1,Centrocampista
1,Kevin Escamilla ,Pumas,1,Centrocampista
1,Kazim-Richards ,Veracruz,1,Delantero
