Ranking,Jugador,Equipo,Total,Posicion
1,Paul Aguilar ,América,10,Defensa
2,Dani Arreola ,Puebla,8,Defensa
3,William Tesillo ,León FC,7,Defensa
4,Anderson Santamaría ,Atlas,6,Defensa
4,Leonel Vangioni ,Rayados,6,Defensa
4,Caraglio ,Cruz Azul,6,Delantero
4,Igor Lichnovsky ,Cruz Azul,6,Defensa
4,Salinas ,Toluca,6,Defensa
4,Omar Mendoza ,Xolos,6,Defensa
4,Guido Pizarro ,Tigres,6,Centrocampista
5,Jesús Molina ,Chivas,5,Centrocampista
5,William ,Toluca,5,Centrocampista
5,Cristian Calderón ,Necaxa,5,Defensa
5,Diego Rodríguez ,Xolos,5,Centrocampista
5,Jesús Dueñas ,Tigres,5,Centrocampista
5,Josecarlos Van Rankin ,Chivas,5,Defensa
5,Leonardo Ramos ,Lobos BUAP,5,Delantero
5,José Rodríguez ,León FC,5,Centrocampista
5,Irving Zurita ,Atlas,5,Defensa
5,Luis Quiñónes ,Tigres,5,Delantero
