Ranking,Jugador,Equipo,Total,Posicion
1,Paul Aguilar ,América,11,Defensa
2,Dani Arreola ,Puebla,9,Defensa
3,William Tesillo ,León FC,8,Defensa
4,Leonel Vangioni ,Rayados,7,Defensa
5,Anderson Santamaría ,Atlas,6,Defensa
5,Jesús Molina ,Chivas,6,Centrocampista
5,Caraglio ,Cruz Azul,6,Delantero
5,Igor Lichnovsky ,Cruz Azul,6,Defensa
5,Salinas ,Toluca,6,Defensa
5,Omar Mendoza ,Xolos,6,Defensa
5,Guido Pizarro ,Tigres,6,Centrocampista
5,Brian Fernández ,Necaxa,6,Centrocampista
6,William ,Toluca,5,Centrocampista
6,Cristian Calderón ,Necaxa,5,Defensa
6,Bruno Valdez ,América,5,Defensa
6,Avilés Hurtado ,Rayados,5,Centrocampista
6,Sambueza ,León FC,5,Centrocampista
6,Diego Rodríguez ,Xolos,5,Centrocampista
6,Vladimir Loroña ,Puebla,5,Defensa
6,Abella ,Santos Laguna,5,Defensa
