Ranking,Jugador,Equipo,Total,Posicion
1,Campbell ,León FC,15,Delantero
1,Angel Sepúlveda ,Necaxa,15,Centrocampista
2,Jean Meneses ,León FC,13,Centrocampista
3,Omar Fernández ,Puebla,12,Delantero
3,Michaell Chirinos ,Lobos BUAP,12,Delantero
3,Dorlan Pabón ,Rayados,12,Delantero
3,Luis Quiñónes ,Tigres,12,Delantero
4,José Macías ,León FC,10,Delantero
4,Ernesto Vega ,Chivas,10,Delantero
4,Marcel Ruiz ,Gallos Blancos,10,Centrocampista
5,Miller Bolaños ,Xolos,8,Centrocampista
5,Bryan Carrasco ,Veracruz,8,Centrocampista
5,Carlos Rodríguez ,Rayados,8,Centrocampista
5,Rodrigo Contreras ,Necaxa,8,Delantero
5,Bou ,Xolos,8,Delantero
6,Rodrigo Millar ,Monarcas,7,Centrocampista
6,Vargas ,Tigres,7,Delantero
6,Martín Barragán ,Necaxa,7,Delantero
6,William ,Toluca,7,Centrocampista
6,Martín Rodríguez ,Pumas,7,Centrocampista
