Ranking,Jugador,Equipo,Total,Posicion
1,Miguel Layún ,Rayados,27,Defensa
2,Barrera ,Pumas,23,Delantero
2,Sambueza ,Pachuca,23,Centrocampista
2,Richard Sánchez ,América,23,Centrocampista
3,Jefferson Intriago ,Bravos,22,Centrocampista
3,Elias Hernández ,Cruz Azul,22,Centrocampista
3,Brian Lozano ,Santos Laguna,22,Centrocampista
4,Osvaldo Martínez ,Puebla,21,Centrocampista
4,Dorlan Pabón ,Rayados,21,Delantero
5,Diego Valdés ,Santos Laguna,20,Centrocampista
5,Leonardo Fernández ,Toluca,20,Centrocampista
6,Luciano Acosta ,Atlas,19,Centrocampista
7,Luis Montes ,León FC,18,Centrocampista
8,Carlos Rodríguez ,Rayados,17,Centrocampista
9,Roberto Alvarado ,Cruz Azul,16,Centrocampista
9,Fabian Castillo ,Gallos Blancos,16,Centrocampista
10,Jeison Lucumí ,Gallos Blancos,15,Delantero
10,Matías Catalán ,Atlético San Luis,15,Defensa
10,Luis Reyes ,Atlético San Luis,15,Defensa
10,Martín Rodríguez ,Monarcas,15,Centrocampista
