Ranking,Jugador,Equipo,Total,Posicion
1,Darío Lezcano ,Bravos,97,Delantero
2,Carlos González ,Pumas,88,Delantero
3,Fernando Gorriarán ,Santos Laguna,87,Centrocampista
4,Germán Berterame ,Atlético San Luis,79,Delantero
5,Brian Lozano ,Santos Laguna,77,Centrocampista
6,Claudio Baeza ,Necaxa,74,Centrocampista
6,Nahuelpan ,Gallos Blancos,74,Delantero
7,Paul Aguilar ,América,73,Defensa
8,Quiroga ,Necaxa,71,Delantero
9,Dionicio Escalante ,Atlético San Luis,68,Defensa
10,Ignacio Rivero ,Xolos,66,Centrocampista
11,Erick Aguirre ,Pachuca,65,Centrocampista
12,Jeison Lucumí ,Gallos Blancos,63,Delantero
12,Luis Quiñónes ,Tigres,63,Delantero
12,Oscar Murillo ,Pachuca,63,Defensa
13,Luis Montes ,León FC,62,Centrocampista
13,Marcel Ruiz ,Gallos Blancos,62,Centrocampista
13,Vladimir Loroña ,Xolos,62,Defensa
14,Sambueza ,Pachuca,61,Centrocampista
14,Juan Delgado ,Necaxa,61,Delantero
