Ranking,Jugador,Equipo,Total,Posicion
1,Darío Lezcano ,Bravos,102,Delantero
2,Brian Lozano ,Santos Laguna,93,Centrocampista
3,Germán Berterame ,Atlético San Luis,86,Delantero
3,Ángel Zaldívar ,Puebla,86,Delantero
4,Carlos González ,Pumas,84,Delantero
5,Juan Delgado ,Necaxa,83,Delantero
6,Fernando Gorriarán ,Santos Laguna,80,Centrocampista
7,Nicolás Ibáñez ,Atlético San Luis,79,Delantero
8,Julio César ,Santos Laguna,78,Delantero
9,Fabian Castillo ,Gallos Blancos,73,Centrocampista
10,Geraldino ,Atlas,72,Delantero
11,Jeison Lucumí ,Gallos Blancos,71,Delantero
12,Osvaldo Martínez ,Puebla,68,Centrocampista
13,Ángel Mena ,León FC,66,Centrocampista
14,Rogelio Funes Mori ,Rayados,65,Delantero
15,Jesús Molina ,Chivas,64,Centrocampista
15,Luciano Acosta ,Atlas,64,Centrocampista
15,Richard Sánchez ,América,64,Centrocampista
16,Claudio Baeza ,Necaxa,63,Centrocampista
16,Ignacio Rivero ,Xolos,63,Centrocampista
