Ranking,Jugador,Equipo,Total,Posicion
1,Darío Lezcano ,Bravos,199,Delantero
2,Carlos González ,Pumas,172,Delantero
3,Brian Lozano ,Santos Laguna,170,Centrocampista
4,Fernando Gorriarán ,Santos Laguna,167,Centrocampista
5,Germán Berterame ,Atlético San Luis,165,Delantero
6,Juan Delgado ,Necaxa,144,Delantero
7,Ángel Zaldívar ,Puebla,141,Delantero
8,Julio César ,Santos Laguna,138,Delantero
9,Claudio Baeza ,Necaxa,137,Centrocampista
10,Jeison Lucumí ,Gallos Blancos,134,Delantero
11,Nicolás Ibáñez ,Atlético San Luis,132,Delantero
11,Quiroga ,Necaxa,132,Delantero
12,Ignacio Rivero ,Xolos,129,Centrocampista
13,Paul Aguilar ,América,127,Defensa
14,Nahuelpan ,Gallos Blancos,122,Delantero
14,Richard Sánchez ,América,122,Centrocampista
14,Erick Aguirre ,Pachuca,122,Centrocampista
15,Jesús Molina ,Chivas,121,Centrocampista
16,Ángel Mena ,León FC,119,Centrocampista
17,Luis Quiñónes ,Tigres,117,Delantero
