Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,109,Centrocampista
2,Leonardo Fernández ,Toluca,79,Centrocampista
3,Sambueza ,Pachuca,72,Centrocampista
4,Barrera ,Pumas,70,Delantero
5,Miguel Layún ,Rayados,67,Defensa
6,Dorlan Pabón ,Rayados,66,Delantero
7,Luis Reyes ,Atlético San Luis,63,Defensa
8,Jefferson Intriago ,Bravos,59,Centrocampista
9,Elias Hernández ,Cruz Azul,56,Centrocampista
10,Martín Rodríguez ,Monarcas,55,Centrocampista
11,Fabian Castillo ,Gallos Blancos,53,Centrocampista
12,Osvaldo Martínez ,Puebla,50,Centrocampista
12,Richard Sánchez ,América,50,Centrocampista
13,Luis Quiñónes ,Tigres,47,Delantero
13,Víctor Malcorra ,Pumas,47,Centrocampista
14,Luis Mendoza ,Monarcas,46,Delantero
15,Matías Catalán ,Atlético San Luis,45,Defensa
16,Cándido Ramírez ,Monarcas,38,Centrocampista
17,Anibal Chala ,Toluca,36,Defensa
18,Luis Montes ,León FC,35,Centrocampista
