Ranking,Jugador,Equipo,Total,Posicion
1,Francisco Córdova ,América,3,Centrocampista
2,Germán Berterame ,Atlético San Luis,2,Delantero
2,Jordan Sierra ,Tigres,2,Centrocampista
2,Maximiliano Salas ,Necaxa,2,Delantero
2,Miguel Layún ,Rayados,2,Defensa
2,Brian Lozano ,Santos Laguna,2,Centrocampista
3,Edgar Games Gonzalez ,Santos Laguna,1,Centrocampista
3,Nico López ,Tigres,1,Delantero
3,Jonathan Rodríguez ,Cruz Azul,1,Delantero
3,Sebastian Saucedo ,Pumas,1,Centrocampista
3,Claudio Baeza ,Necaxa,1,Centrocampista
3,Diego Valdés ,Santos Laguna,1,Centrocampista
3,Ángel Márquez ,Atlas,1,Centrocampista
3,Jeison Lucumí ,Gallos Blancos,1,Delantero
3,Mauro Lainez ,Xolos,1,Centrocampista
3,Ignacio Rivero ,Xolos,1,Centrocampista
3,Jefferson Intriago ,Bravos,1,Centrocampista
3,Roberto Alvarado ,Cruz Azul,1,Centrocampista
3,Valdivia ,Monarcas,1,Centrocampista
3,Kevin Castañeda ,Toluca,1,Centrocampista
