Ranking,Jugador,Equipo,Total,Posicion
1,Nicolás Ibáñez ,Atlético San Luis,19,Delantero
2,Leonardo Fernández ,Toluca,17,Centrocampista
2,Quiroga ,Necaxa,17,Delantero
3,Gignac ,Tigres,15,Delantero
4,Germán Berterame ,Atlético San Luis,14,Delantero
4,Brian Lozano ,Santos Laguna,14,Centrocampista
5,Jonathan Rodríguez ,Cruz Azul,13,Delantero
5,Elias Hernández ,Cruz Azul,13,Centrocampista
6,Enner Valencia ,Tigres,11,Delantero
6,Carlos González ,Pumas,11,Delantero
7,Luis Chavez ,Pachuca,10,Centrocampista
7,Rogelio Funes Mori ,Rayados,10,Delantero
7,Alexis Canelo ,Toluca,10,Delantero
7,José Macías ,Chivas,10,Delantero
7,Nahuelpan ,Gallos Blancos,10,Delantero
7,Julio César ,Santos Laguna,10,Delantero
8,Paul Aguilar ,América,9,Defensa
8,Javier Correa ,Atlas,9,Delantero
8,Ángel Zaldívar ,Puebla,9,Delantero
8,Jesús Gallardo ,Rayados,9,Centrocampista
