Ranking,Jugador,Equipo,Total,Posicion
1,Jonathan Rodríguez ,Cruz Azul,32,Delantero
2,Leonardo Fernández ,Toluca,30,Centrocampista
2,Nicolás Ibáñez ,Atlético San Luis,30,Delantero
3,Elias Hernández ,Cruz Azul,28,Centrocampista
3,Brian Lozano ,Santos Laguna,28,Centrocampista
4,Germán Berterame ,Atlético San Luis,27,Delantero
4,Gignac ,Tigres,27,Delantero
4,Quiroga ,Necaxa,27,Delantero
5,Rogelio Funes Mori ,Rayados,22,Delantero
6,Nahuelpan ,Gallos Blancos,21,Delantero
6,Darío Lezcano ,Bravos,21,Delantero
6,Franco Jara ,Pachuca,21,Delantero
7,Fabio Álvarez ,Pumas,19,Centrocampista
7,Enner Valencia ,Tigres,19,Delantero
7,Ángel Zaldívar ,Puebla,19,Delantero
8,José Macías ,Chivas,18,Delantero
8,Julio César ,Santos Laguna,18,Delantero
9,Aristeguieta ,Monarcas,17,Delantero
9,Juan Delgado ,Necaxa,17,Delantero
9,Carlos González ,Pumas,17,Delantero
