Ranking,Jugador,Equipo,Total,Posicion
1,Carlos González ,Pumas,67,Delantero
2,Quiroga ,Necaxa,61,Delantero
3,Germán Berterame ,Atlético San Luis,42,Delantero
3,Nahuelpan ,Gallos Blancos,42,Delantero
4,Paul Aguilar ,América,41,Defensa
4,Julio César ,Santos Laguna,41,Delantero
5,Oscar Murillo ,Pachuca,40,Defensa
6,Dionicio Escalante ,Atlético San Luis,38,Defensa
6,Cabral ,Pachuca,38,Defensa
7,Nicolás Sánchez ,Rayados,33,Defensa
7,Darío Lezcano ,Bravos,33,Delantero
8,Jesús Molina ,Chivas,32,Centrocampista
9,Alexis Canelo ,Toluca,29,Delantero
9,Adrián Mora ,Toluca,29,Defensa
9,Geraldino ,Atlas,29,Delantero
10,Johan Vásquez ,Pumas,28,Defensa
11,Víctor Velázquez ,Bravos,27,Defensa
11,Emanuel Aguilera ,América,27,Defensa
12,César Montes ,Rayados,26,Defensa
13,Santiago Giménez ,Cruz Azul,24,Delantero
