Ranking,Jugador,Equipo,Total,Posicion
1,Carlos González ,Pumas,58,Delantero
2,Ángel Zaldívar ,Puebla,47,Delantero
3,Julio César ,Santos Laguna,44,Delantero
4,Quiroga ,Necaxa,40,Delantero
5,Rogelio Funes Mori ,Rayados,38,Delantero
6,Cabral ,Pachuca,34,Defensa
7,Dionicio Escalante ,Atlético San Luis,32,Defensa
7,Darío Lezcano ,Bravos,32,Delantero
8,Germán Berterame ,Atlético San Luis,29,Delantero
8,Geraldino ,Atlas,29,Delantero
8,Nicolás Ibáñez ,Atlético San Luis,29,Delantero
9,Jesús Molina ,Chivas,28,Centrocampista
10,Julio Dominguez ,Cruz Azul,26,Defensa
11,Henry Martin ,América,25,Delantero
11,Félix Torres ,Santos Laguna,25,Defensa
12,Santiago Giménez ,Cruz Azul,24,Delantero
12,Enner Valencia ,Tigres,24,Delantero
12,Adrián Mora ,Toluca,24,Defensa
12,Fernando León ,Atlético San Luis,24,Defensa
12,Oscar Murillo ,Pachuca,24,Defensa
