Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,84,Centrocampista
2,Darío Lezcano ,Bravos,70,Delantero
2,Juan Delgado ,Necaxa,70,Delantero
3,Fabian Castillo ,Gallos Blancos,67,Centrocampista
4,Fernando Gorriarán ,Santos Laguna,66,Centrocampista
5,Jeison Lucumí ,Gallos Blancos,62,Delantero
5,Ángel Mena ,León FC,62,Centrocampista
6,Richard Sánchez ,América,60,Centrocampista
7,Claudio Baeza ,Necaxa,59,Centrocampista
8,Germán Berterame ,Atlético San Luis,57,Delantero
8,Luciano Acosta ,Atlas,57,Centrocampista
8,Aldo Rocha ,Monarcas,57,Centrocampista
9,Osvaldo Martínez ,Puebla,53,Centrocampista
10,Pedro Aquino ,León FC,51,Centrocampista
10,Luis Montes ,León FC,51,Centrocampista
10,Aboagye ,Gallos Blancos,51,Centrocampista
11,Barrera ,Pumas,50,Delantero
11,Luis Quiñónes ,Tigres,50,Delantero
11,Nicolás Ibáñez ,Atlético San Luis,50,Delantero
12,Felipe Pardo ,Toluca,49,Delantero
