Ranking,Jugador,Equipo,Total,Posicion
1,Ángel Mena ,León FC,21,Centrocampista
2,Aldo Rocha ,Monarcas,20,Centrocampista
2,Fernando Gorriarán ,Santos Laguna,20,Centrocampista
3,Nicolás Ibáñez ,Atlético San Luis,18,Delantero
3,Ricardo Chávez ,Necaxa,18,Defensa
4,Juan Delgado ,Necaxa,17,Delantero
5,Claudio Baeza ,Necaxa,15,Centrocampista
5,Luciano Acosta ,Atlas,15,Centrocampista
6,Pedro Aquino ,León FC,14,Centrocampista
7,Germán Berterame ,Atlético San Luis,13,Delantero
7,Israel Jiménez ,Bravos,13,Defensa
7,Richard Sánchez ,América,13,Centrocampista
8,Sambueza ,Pachuca,12,Centrocampista
8,Miguel Barbieri ,Xolos,12,Defensa
9,Fernando Arce ,Necaxa,11,Centrocampista
9,Javier Güemez ,Toluca,11,Centrocampista
9,Angelo Sagal ,Bravos,11,Delantero
9,Jesús Molina ,Chivas,11,Centrocampista
9,Luis Quiñónes ,Tigres,11,Delantero
9,Aboagye ,Gallos Blancos,11,Centrocampista
