Ranking,Jugador,Equipo,Total,Posicion
1,Luis Romo ,Cruz Azul,38,Defensa
2,Erick Aguirre ,Pachuca,36,Centrocampista
3,Ignacio Rivero ,Xolos,29,Centrocampista
3,Jesús Sánchez ,Chivas,29,Centrocampista
3,Jaime Gómez ,Gallos Blancos,29,Centrocampista
3,Vladimir Loroña ,Xolos,29,Defensa
4,Alan Mozo ,Pumas,28,Defensa
5,Luis Quiñónes ,Tigres,27,Delantero
6,Gerardo Daniel Arteaga Zamora ,Santos Laguna,26,Defensa
7,Stefan Medina ,Rayados,25,Defensa
8,Maximiliano Perg ,Puebla,24,Defensa
8,Guido Pizarro ,Tigres,24,Centrocampista
9,Rafael Baca ,Cruz Azul,23,Centrocampista
9,Christian Rivera ,Xolos,23,Centrocampista
9,Jorge Hernández ,Pachuca,23,Centrocampista
9,Marcel Ruiz ,Gallos Blancos,23,Centrocampista
9,Alejandro Mayorga ,Pumas,23,Defensa
10,Israel Jiménez ,Bravos,22,Defensa
10,Claudio Baeza ,Necaxa,22,Centrocampista
10,William Tesillo ,León FC,22,Defensa
