Ranking,Jugador,Equipo,Total,Posicion
1,Geraldino ,Atlas,28,Delantero
2,Germán Berterame ,Atlético San Luis,27,Delantero
3,Aldo Rocha ,Monarcas,26,Centrocampista
3,Fernando Gorriarán ,Santos Laguna,26,Centrocampista
3,Ángel Mena ,León FC,26,Centrocampista
4,Darío Lezcano ,Bravos,25,Delantero
4,Juan Delgado ,Necaxa,25,Delantero
5,Ricardo Chávez ,Necaxa,24,Defensa
6,Claudio Baeza ,Necaxa,23,Centrocampista
6,Nicolás Ibáñez ,Atlético San Luis,23,Delantero
7,Luciano Acosta ,Atlas,21,Centrocampista
8,Jesús Molina ,Chivas,20,Centrocampista
9,Pedro Aquino ,León FC,19,Centrocampista
9,Javier Güemez ,Toluca,19,Centrocampista
9,Brian Lozano ,Santos Laguna,19,Centrocampista
10,Luis Quiñónes ,Tigres,18,Delantero
10,Fabian Castillo ,Gallos Blancos,18,Centrocampista
11,Jorge Aguilar ,Gallos Blancos,17,Defensa
11,González Pirez ,Xolos,17,Defensa
11,Stefan Medina ,Rayados,17,Defensa
