Ranking,Jugador,Equipo,Total,Posicion
1,Darío Lezcano ,Bravos,37,Delantero
2,Fernando Gorriarán ,Santos Laguna,35,Centrocampista
2,Miller Bolaños ,Xolos,35,Centrocampista
3,Leonardo Fernández ,Toluca,33,Centrocampista
4,Brian Lozano ,Santos Laguna,32,Centrocampista
5,Juan Delgado ,Necaxa,31,Delantero
6,Carlos Antuna ,Chivas,24,Delantero
7,Claudio Baeza ,Necaxa,23,Centrocampista
7,Nahuelpan ,Gallos Blancos,23,Delantero
8,Marcel Ruiz ,Gallos Blancos,22,Centrocampista
9,Sambueza ,Pachuca,21,Centrocampista
9,Ángel Mena ,León FC,21,Centrocampista
10,Luis Reyes ,Atlético San Luis,20,Defensa
10,Carlos González ,Pumas,20,Delantero
11,Daniel Alvarez ,Necaxa,19,Delantero
11,Ángel Zaldívar ,Puebla,19,Delantero
12,Roberto Alvarado ,Cruz Azul,18,Centrocampista
12,Jean Meneses ,León FC,18,Centrocampista
12,Richard Sánchez ,América,18,Centrocampista
13,Luis Montes ,León FC,17,Centrocampista
