Ranking,Jugador,Equipo,Total,Posicion
1,Jonathan Rodríguez ,Cruz Azul,9,Delantero
2,Gignac ,Tigres,8,Delantero
3,Ángel Mena ,León FC,7,Centrocampista
4,Leonardo Fernández ,Toluca,6,Centrocampista
4,Darío Lezcano ,Bravos,6,Delantero
4,Franco Jara ,Pachuca,6,Delantero
5,Aldo Rocha ,Monarcas,5,Centrocampista
5,Nicolás Ibáñez ,Atlético San Luis,5,Delantero
5,Quiroga ,Necaxa,5,Delantero
6,Jean Meneses ,León FC,4,Centrocampista
6,Nahuelpan ,Gallos Blancos,4,Delantero
6,Diego Rolán ,Bravos,4,Delantero
7,Leonardo Ramos ,León FC,3,Delantero
7,Juan Ignacio Dinenno ,Pumas,3,Delantero
7,Federico Viñas ,América,3,Delantero
7,José Macías ,Chivas,3,Delantero
7,Martín Rodríguez ,Monarcas,3,Centrocampista
7,Julio César ,Santos Laguna,3,Delantero
7,Eduardo Aguirre ,Santos Laguna,3,Delantero
7,Jesús Gallardo ,Rayados,3,Centrocampista
