Ranking,Jugador,Equipo,Total,Posicion
1,Elias Hernández ,Cruz Azul,3,Centrocampista
2,Germán Berterame ,Atlético San Luis,2,Delantero
2,Roberto Alvarado ,Cruz Azul,2,Centrocampista
2,Leonardo Fernández ,Toluca,2,Centrocampista
2,Adrián Aldrete ,Cruz Azul,2,Defensa
3,Diego Zaragoza ,Atlas,1,Defensa
3,Doria ,Santos Laguna,1,Defensa
3,Santiago Giménez ,Cruz Azul,1,Delantero
3,Mauro Lainez ,Xolos,1,Centrocampista
3,Javier Güemez ,Toluca,1,Centrocampista
3,Carlos Vargas ,Monarcas,1,Defensa
3,Juan Ignacio Dinenno ,Pumas,1,Delantero
3,Andrés Iniestra ,Pumas,1,Centrocampista
3,José Macías ,Chivas,1,Delantero
3,Osvaldo Martínez ,Puebla,1,Centrocampista
3,Luis Reyes ,Atlético San Luis,1,Defensa
3,Luciano Acosta ,Atlas,1,Centrocampista
3,Leo Suárez ,América,1,Centrocampista
3,Nahuelpan ,Gallos Blancos,1,Delantero
3,Luis Quiñónes ,Tigres,1,Delantero
