Ranking,Jugador,Equipo,Total,Posicion
1,Sebastián Vegas ,Monarcas,6,Defensa
1,Martín Rodríguez ,Monarcas,6,Centrocampista
1,Aldo Rocha ,Monarcas,6,Centrocampista
2,Sebastián Sosa ,Monarcas,5,Portero
2,Gil Alcalá ,Gallos Blancos,5,Portero
2,Cadete ,Gallos Blancos,5,Defensa
2,Luis Mendoza ,Monarcas,5,Delantero
2,José Ortiz ,Monarcas,5,Defensa
2,Alfredo Saldívar ,Pumas,5,Portero
2,Fabio Álvarez ,Pumas,5,Centrocampista
2,Jaime Gómez ,Gallos Blancos,5,Centrocampista
2,Aboagye ,Gallos Blancos,5,Centrocampista
2,Johan Vásquez ,Pumas,5,Defensa
2,Marcel Ruiz ,Gallos Blancos,5,Centrocampista
2,Alejandro Mayorga ,Pumas,5,Defensa
2,Julián Velázquez ,Gallos Blancos,5,Defensa
2,Alan Mozo ,Pumas,5,Defensa
2,Carlos González ,Pumas,5,Delantero
3,Aristeguieta ,Monarcas,4,Delantero
3,Miguel Sansores ,Monarcas,4,Delantero
